b'id',b'handle',b'message',b'location',b'polarity'
b'13',b'BiafraExodus',"b'The biggest scammers in the world is the Nigeria government.The president Buhari is an imposter from Sudan and chief of all terrorists in West Africa and Sahel. Him and his chief of staff Abba Kyari tested Covid-19positive, but they are hidding the result and the fake president https://t.co/qnAy3REmgn'",b'',1
,,,,
b'14',b'9ja_the',"b""@remchida7 @segalink I lost a friend in that attack by Boko boys..a colleague from my secondary school days...they dead defending you and me..so we could see another day..we won't be honoring those deaths if Nigeria failed again come 2023 without proper political parties and determined Nigerians\xf0\x9f\x98\x92\xf0\x9f\x98\x92""","b'Lagos, Nigeria'",0
,,,,
b'15',b'miztacharlestev',b'@graviiti_ @legendary_53 @Osi_Suave U are not a buhari supporter but d only person that has spoken truth to face concerning d recklessness of this admin is ur problem ?\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f to d extent of calling him fake Imam ! I know say na u b allah\xe2\x80\x99s PA that knows d real one &amp; d fake one \nGedifok enemies of Nigeria',"b'Anambra, Nigeria'",0
,,,,
b'16',b'Olisa_Marvis',"b""@NeoMichael_ @DECENCYIWUMS16 @oshinugaolayemi @Johannxs @APCNigeria @Imamofpeace @Ayourb @ogundamisi @GarShehu Blackmail which dear country? You even had to add I don't care.. You do. Stop the fake empathy.. The imam is attacking Buhari for his incompetency, stay out of the way.. We love to see it\xf0\x9f\x98\x82""",b'',0
,,,,
b'17',b'MKOnyedikachi',b'@Kachiii5 Nigeria is zoo it should be put to End.\n#BuhariResign \n#BuhariResign \n#BuhariResign \n#BuhariResign \n#BuhariResign \n#BuhariResign \n#EndNigeriaNow #PresidentCovikk \n@Imamofpeace',"b'Ohafia Abia State, Biafra '",1
,,,,
b'18',b'yofigirl',"b""@Johannxs @Imamofpeace @Ayourb @ogundamisi @GarShehu Even if he did, it's proof that he always wanted PEACE in Nigeria but your brain dead President hate progressive minds?\n\nEverything he's said is true. Just deal with the truth and stop this cheap blackmail!\n\nCall Buhari to address Nigerians or shut up!""",b'lagos nigeria',0
,,,,
b'19',b'CeoChapii',"b""@tvcnewsng So you still think TVC will broadcast a false news of such type? Una well done ooo. That's why Nnamdi Kanu called Nigeria a zoo""","b'Abuja, Nigeria'",0
,,,,
b'20',b'DeVoice77910853',"b""That's why Nigeria is called a zoo https://t.co/6kql2PjNfN""",b'',1
,,,,
b'21',b'OchanjaFolksy',"b""@Johannxs @Imamofpeace @Ayourb @ogundamisi @GarShehu All you Twitter boy boy condemning @Imamofpeace should know you're all wasting your time defending an impostor- jubril al sudani. Buhari is dead and remains dumb. No matter what you guys write, the @Imamofpeace knows the truth about Nigeria and its leadership.""",b'Germany',1
,,,,
b'22',b'MayUbeku',"b""@ali4gray Oh shut up. He is fake and his words on Buhari are what? Ya'll think we dumb like Buhari. Where da f**k is Buhari at a time the nation needs him on #COVID19? Issue? #ResignBuhari ! https://t.co/OJSGCbEnB7""",b'Niger Delta \xf0\x9f\x87\xb3\xf0\x9f\x87\xac',0
,,,,
b'23',b'justferrari1',"b'@akeula_trendy How does Imam do ? Imam do join hands in hands to make terrorists, kill both Muslims and Christians that are not in support of your evil acts \xc3\xa0b\xc3\xad ? Now I see that you the real terrorist and the cult @Imamofpeace is talking about. Shame on you and you and you and you and you and U'","b'Lagos, Nigeria '",1
,,,,
b'24',b'UnkleBrown',"b'@roshawn6869 See this broke fool. If data is your problem, tell me. Send me your mtn number and i will credit your line with 40gb. \n\nIf data has blinded you from accepting the truth then continue to remain stupid and blinded for life. \n\nTruth is bitter they say\n\nI be like almajiri for ur eye'",b'Nigeria',0
,,,,
b'25',b'Maro2Longe',"b""@EzaKome Have you paid??? Don't forget you also paid for ipob and they are not as potent and this your new found god. Ask what about my President? That he has not release money to help combat this virus? Or put appropriate measures in place to help stem it's further spread? What exactly?""",b'Here',0
,,,,
b'26',b'Stephen38112109',"b""Any man or woman who's hand is among those that kill our ipob members covid 19,must come on you,is not a bad prayer,full stop,""",b'',1
,,,,
b'27',b'kay_hardcore',"b'@segalink Bashir, femi adesina, babar shehu &amp; co all know everything is wrong and Nigeria is not doing well at all. They also know they dont have a say but to package their employer in a way he wants to be seen. Their conscience has been dead &amp; bury since 2015 no doubt lesdan 3 years to go'","b'London, England'",0
,,,,
b'28',b'Topzenith',b'@YulEdochie @Imamofpeace You people should have shame for once now. Is he your president?.I thought you belong to IPOB. Omo ale ni yin.',b'',0
,,,,
b'29',b'page36news',"b'The Hide And Seek Game Of @NGRPresident @MBuhari By The @OfficialAPCNg And Aso Rock Cabal, Is Slowly Coming To An End; By Salisu Abdulai - Page 36 - Reducing fake news in Nigeria https://t.co/ESyilR1db5 #WhereIsBuhari #SalisuAbdulaiSpeaks'",b'Nigeria',0
,,,,
b'30',b'Mcmayorkahlid',b'@ImaNoel_FGG @misterramzeey @dejinious_ Clone wars IV : These Buhari Times',"b'Lagos,Nigeria'",0
,,,,
b'31',b'SOluronbi',b'Ipob has adopted #imamofpiss as their presidential candidate for 2023.',"b'Lagos, Nigeria'",0
,,,,
b'32',b'alaowerri4real',"b'@mcginger22 Dr ibeneme I thought you are reasonable,during the time of Ebola you were up and doing now that corona is here because of buhari u turn ur back , so you are fake'","b'Lagos, Nigeria'",0
,,,,
b'33',b'Politbru',b'@CovenantBuhari I thought IPOB has been proscribed by a court injunction in Nigeria. How can they have a Presidential Candidate in 2020 for an election that will be held in 2023? #FakeNewsAlert',"b'Lagos, Nigeria'",0
,,,,
b'34',b'kingtoks4',"b'@SAMKLEF @MrAbuSidiq D THUNDER WN FIRE UR DEAD SMELLING CAREER, SO XJ give u 20K from CAPE TOWN TO SHARE DUE TO CORONA, I THINK SAY UR PAPA B SAY CORONA NR DY NIGERIA??? SMELLY HE-GOAT WHEN E BRAIN NR DY WORK'",b'',0
,,,,
b'35',b'adeyemitemida17',"b""@Imamofpeace Fake imam fucking useless idiot and a begger with no source of living... You have been  bursted fucking school drop out with dead brains.. ANIC doesn't  even recognise you as an Imam .. So screw you fucking retard...We love our president Buhari  now go kill fuck off""",b'',0
,,,,
b'36',b'RKennedyob',b'So sad that millions of Nigerians put their hopes on dullard and urchins. \nLet lies continue. But it has an expiration date.\n#Biafra is here.\n@Imamofpeace \n@MaziNnamdiKanu \n#WestandWithNnamdiKanu \n#WeAreTogether \n#WeAreBiafra \n@ukgov \n@mpparimal \n@MPokora \n@Anna_Soubry \n#IPOB https://t.co/qq3dPutBf4',b'',0
,,,,
b'37',b'elvis_poko',b'@adamugarba Adamu shut up and speak for yourself who tell you say we value Buhari i Will gladly exchange Buhari for fake earpiece',"b'Victoria Island, Nigeria'",1
,,,,
b'38',b'martinbjones1',b'@LUFC @TheSJTobin @MeslierIllan Bloody hell its Arne',b'',0
,,,,
b'39',b'enigma_soetan',b'@dat_OsunGirl @dmightyangel @dupekilla @bravefacefunkie Aunty would you agree we have an Almajiri problem in the north?\nWould you agree their Islamic education does not equip them for integration into society?\nWould you agree they are considered Nigerian youths?\nYour answers to this questions would help this discussion',b'',0
,,,,
b'40',b'prafulla_sharma',"b""@naveengmc @imshubhamtyagi @kunalkamra88 Bdsk - you hate Hinduism so much that you bring up religion in everything. You are the sort of people who ignore the deep hatred muslims and christians nurse against Hindus. A Ramayan makes you uncomfortable but a malyali muslim going all the way to kill Sikhs doesn't bother you.""",b'Gujarat',1
,,,,
b'41',b'Dattes',"b""@AsiyaRodrigo @melvin69587819 @segalink Sister, their ability to think rationally and comprehend basic things is blocked by a sinister bigotry. They have eyes, but cannot see. They have ears, they can hear but they don't listen. Remember they once (some still) believed that the President is a clone. Expect nothing less""",b'Bauchi',0
,,,,
b'42',b'biyibjorn',"b'Bro, enough of all these your play, when are you asking for donations to your legal defense from your new friends from Nigeria. Your IPOB friends are used to it already.\nWe understand the scam. Just tweet your gofundme account and see how dense your new bigoted friends are. https://t.co/bQqBKlAeD6'",b'St.Elsewhere.',0
,,,,
b'43',b'Uchepager',b'@Ody_johnson @BusinessDayNg @NASA And it is in Nigeria zoo it found to land? We get luck o.',b'Nigeria',1
,,,,
b'44',b'chaka_simbeye',"b'My tactical analysis of Arne Slot\xe2\x80\x99s AZ Alkmaar, one of the better triangular passing sides in Europe. Their young team is level on points with Ajax as they have lit up the Eredivisie with brilliantv attacking football. @JongsmaJongsma @BestFootyPieces \n\nhttps://t.co/G6IVvTG3x4'","b'Lusaka, Zambia'",0
,,,,
b'45',b'realuweez',"b'Lmao \xf0\x9f\x98\x82 This same ass man that told Muslims not to wish Christians A merry Christmas, I blame stupid people that think he is the best judge and keep seeking his opinion. They have no mind of their own https://t.co/085qgpMMFh'",b'',1
,,,,
b'46',b'Eni_akanda',"b'@diallobee @Imamofpeace Maybe when one of your family tests positive to Corona, your brain dead cells will wake up and see that Buhari careless about Nigeria. COS has gone to UK for better treatment, while you are here asking me a rhetorical question!!!'",b'\xd8\xaf\xd8\xa8\xd9\x89\xd8\x8c \xd8\xa7\xd9\x84\xd8\xa7\xd9\x85\xd8\xa7\xd8\xb1\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x85\xd8\xaa\xd8\xad\xd8\xaf\xd8\xa9',0
,,,,
b'47',b'AmaraBiafra',"b""@Imamofpeace Wise decision @Imamofpeace , they're working with this Nigeria fulani terrorists government. They hate truth and love lies and always there to cover up so many atrocities of this evil Governments.\n#DivideNigeriaNow!\n#SupportBiafraFreedom!!""",b'Biafra',1
,,,,
b'48',b'NwabiafraO',"b""@MachuksO @AloyEjimakor @MaziNnamdiKanu @Imamofpeace Aminu El-Sudane the jubril is Sudanise stark illiterate, the man that's in charge of the Zoo called Nigeria's affairs!!""",b'',1
,,,,
b'49',b'MuhdYkb',b'@O_ssai He is the saviour of ipob pigs',"b'Kaduna, Nigeria'",1
,,,,
b'50',b'ImanOfPeace1',"b'#BREAKING: Explosion in Nigeria leaves School principal dead, 36 students, 19 adults admitted at Navy Hospital. 15 schoolchildren killed.\n\nOver 200 persons displaced, 50 houses and Churches destroyed.\n\nFailed President #BuhariResign  https://t.co/82LVgN4s8K\n#ResignBuhari'",b'Australia and USA',0
,,,,
b'51',b'NeoMichael_',"b""@DECENCYIWUMS16 @Olisa_Marvis @oshinugaolayemi @Johannxs @APCNigeria @Imamofpeace @Ayourb @ogundamisi @GarShehu Trust me I'm not even a big fan of Buhari, I think he could be doing so much more. Neither do I support GEJ, he failed. But I won't let no fake imam blackmail my dear country. That's my point. Do you understand?""","b'Lagos, Nigeria'",0
,,,,
b'52',b'LeftBackFtball',b'AZ Alkmaar are one of the better triangular passing sides in Europe. Here is our tactical analysis on Arne Slot\xe2\x80\x99s AZ Alkmaar who are currently level on points with Ajax at the top of the Eredivisie. @FootballOranje_ @MichaelJBell09 @BestFootyPieces \n\nhttps://t.co/J3RsrDObdU',"b'Brighton, England'",0
,,,,
b'53',b'ezimako',b'Did they close Almajiri schools? https://t.co/HJURbgqSD2',b'Nigeria',0
,,,,
b'54',b'EmperorSheriff',"b'@AprilWorld @woye1 East get wahala? They hustle! Almajiri are not there, under age voted no they, them no they comot kings anyhow ..... Many more'",b'',0
,,,,
b'55',b'ELDERMYELDER',"b""We know and understand you guys Biafraud and ipobians but, you also know you'll ever take the back seat together with your #ThiefImamOfPiss @Imamofpeace https://t.co/svNJ7nL9dM""",b'',1
,,,,
b'56',b'DogzyA',b'@henryshield IPOB has been on this since 2015 and will remain so till Jesus returns.\n\nThe fraud @Imamofpeace  has been unmasked.\n\nLook for another topic to wail',b'',0
,,,,
b'57',b'KelvinOkechu',"b""@Imamofpeace Help us tell the world because the ipob is telling the world what's going on Nigeria but the world seems to be acting as if what the Ipob is saying is propaganda.""",b'Lome',0
,,,,
b'58',b'we5thamutd1976',b'@CrimeLdn These are Muslim terrorists trying to kill all Christians and non mullahs',"b'East London, England'",1
,,,,
b'59',b'IgboOlodumare',b'You people should just recruit @Imamofpeace to IPOB and rest. https://t.co/kUUa4o0NyE',b'',0
,,,,
b'60',b'EdoIdat',"b""Some even more than twice a day, some prime ministers like that of the UK who's contracted the disease speak via face time but ours in Nigeria is different, you tell people not to talk; you is amongst men the most miserable and disaster will befall y'all dead wits. Such nonsense.""",b'Abuja',0
,,,,
b'61',b'anolysis81',"b""@CovenantBuhari Mumu talk, why can't you leave IPOB out of this and tackle the Imam who has been dealing dealing with your failed president since yesterday? BMC rodent""",b'Nigeria',0
,,,,
b'62',b'abekhaaamosh',"b'#Explosion in Nigeria leaves School principal dead, 36 students, 19 adults admitted at Navy Hospital. 15 schoolchildren killed.\nOver 200 persons displaced, 50 houses and Churches destroyed\nDestroy education system \nAlways first priority of #terrorist'",b'',0
,,,,
b'63',b'Kingdtwo1',"b'@Imamofpeace I have been feeling u until you started talking about one religion killing another, book haram is not an Islamic sect, they kill Muslims they kill Christians, dont paint this to cause another riot BTW this two religions, its solution we are looking for, dont add to the problem'",b'',0
,,,,
b'64',b'johns_dm',b'@IsolationHub Listening to Dorothy Dunnett series on audible and knitting.  Check out Arne and Carlos quarantine knit along.  A new pattern to tackle every day and the support of a worldwide community up to 9000 last time I heard.',b'',0
,,,,
b'65',b'Prince_seriki',b'This terorist knows no religion as you are potraying it. it may interest you to know that the attack by this deadly group has left thousands of people dead and displaced in the northeast Nigeria which is largely dominated by muslims.\nStop this violent naratives. https://t.co/FOA7XpAm3Z',b'',0
,,,,
b'66',b'zikaify',"b'@CovenantBuhari You are not ok, for dragging IPOB into this. Ur tribalism is on another level.'",b'Lagos',0
,,,,
b'67',b'exteez',b'@Imamofpeace If u wan to grow ur followers list insult Buhari. Boom ur account will be followed by over 400k ppl. I mean 400k animals called IPOB',"b'Minna, Nigeria'",0
,,,,
b'68',b'arne_d_h',"b'@CrayonToCrayon Could you add rings for ""good music"", ""good voice""?'","b'Tranby, Norway'",0
,,,,
b'69',b'PierreLyon2',b'WHERE THE PRESIDENT OF NIGERIA \xf0\x9f\xa4\x94 IS HE STILL ALIVE OR DEAD BECAUSE NIGERIANS NEED HIM NOW.. OR #BuhariResign #WhereIsBuhari #BuhariChallenge #ShameOnNigeria #PresidentCovikk',"b'Sulmona, Abruzzo'",0
,,,,
b'70',b'Zinny705',b'@UmarMakinta7 @SaharaReporters Who is this almajiri.  Tacha is ur president\n#TachaForPresident',b'',0
,,,,
b'71',b'idrees_aq',b'@mohammedsedik_ Imam is concern about his own pocket. Some IPOB bastard had paid him to insult our president.',b'Lagos Nigeria',0
,,,,
b'72',b'mastermind___1',"b'@Imamofpeace The govt has really failed in the book haram issue honestly, but saying only Christians are been killed is not right though... These terrorists kill people both Muslims and Christians without remorse or pity. Take note'",b'Nigeria',0
,,,,
b'73',b'LaoTzu5',"b'#R4today  What is going on? NO *#Jesus said*  NO #Switcheroo!\n\nSod it, here\'s my #TFTD: Revelation 6 will please those Christians ""... the name Death; and Hades, over a fourth of the earth, to kill with sword and famine and with pestilence and by the wild beasts of the earth"" \xf0\x9f\x8e\xa0'","b'England, UK'",0
,,,,
b'74',b'excellencey',"b""The funny thing about this whole thing is that these Buhari and his cult members can't do anything to the Imam of Peace regardless of the fake news they're trying so hard to spread about him, he's got your people's support... and that's the worst of it all #BuhariResign""",b'',1
,,,,
b'75',b'onlydotcom',b'@Johannxs @Imamofpeace @Ayourb @ogundamisi @GarShehu He has since been adopted by the Nigerian fraudsters..  He will soon become their presidential candidate in the Republic of Biafraud https://t.co/ogjthyOOc8',b'',0
,,,,
b'76',b'page36news',"b'The Hide And Seek Game Of President Buhari By The APC And Aso Rock Cabal, Is Slowly Coming To An End; By Salisu Abdulai - Page 36 - Reducing fake news in Nigeria https://t.co/ESyilR1db5'",b'Nigeria',0
,,,,
b'77',b'Salysu',"b'The Hide And Seek Game Of President Buhari By The APC And Aso Rock Cabal, Is Slowly Coming To An End; By Salisu Abdulai - Page 36 - Reducing fake news in Nigeria https://t.co/KYyG9CiSUa'","b'Abuja, Nigeria'",0
,,,,
b'78',b'censoj',"b'COVID-19: IPOB leader, Nnamdi Kanu, announces N50m to fight coronavirus\n\nRead more at: https://t.co/9NUk5zdKpH'",b'Abuja',0
,,,,
b'79',b'Deyong19',"b'@Imamofpeace They are more than 50, if our Useless Government tell you that is 50 Soldiers then you need to add more 250 to get the real numbers. Honestly we are in trouble in this ZOO called Nigeria. May God help us we that saw this calamity coming but they refuse to hear.'","b'Victoria, British Columbia'",0
,,,,
b'80',b'Profbuchi',b'@segalink @IamTizimo Somewhere along the talk he said Buhari is FAKE....anyway it just reminded me of what mazi Nnamdi Kanu said earlier',"b'Federal Capital Territory, Nig'",0
,,,,
b'81',b'MKOnyedikachi',"b'@Imamofpeace Nigeria is a terrorist country itself,\n#PresidentCovikk and his Terrorist group are Bombing and killing a lot of people everyday in that Zoo called Nigeria, the so-called Nigerians should note that Buhari only agenda is to terrorize Nigeria.\n#BuhariResign #EndNigeriaNow'","b'Ohafia Abia State, Biafra '",1
,,,,
b'82',b'larucheebam',b'@kokomatic @kennygee_70 The IPOB amongst them sha',b'',0
,,,,
b'83',b'enooneil',b'@DailyPostNGR Fake news. Where is Buhari? #BuhariResign',b'Port harcourt',0
,,,,
b'84',b'SirOnuigweVitus',"b""With this cloth, #PresidentCovik will link his Tormentor to IPOB, if they couldn't find evidence to discredit his opinion of truth. \n\nBuhari have failed Nigerians. #BuhariResign https://t.co/fEDLVJ8fL6""",b'Nigeria',0
,,,,
b'85',b'lexyy4real',"b'@jimohsolz You are lost bro \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 Twitter gbano Lana ni ooo...one fake @Imamofpeace dey troll Buhari, then trust Nigerians nah, they were wanking over it..imam has once reached out to Baba to settle issues btw shites and military, baba give am leg over, he come dey convulse.'","b'Lagos, Nigeria'",0
,,,,
b'86',b'Strikeb61793753',b'@lmam0fpeace I am a Nigerian. I am grateful for your words. You have opened the eyes of Nigerians. That man is evil. The real Buhari is dead. The current Buhari is fake. I know. Thank you Imam of Peace. You are protected by God almighty.',"b'Lagos, Nigeria'",1
,,,,
b'87',b'JohnsonMills12',b'@Imamofpeace Nigeria has falled zoo',b'',1
,,,,
b'88',b'Almajiri_Salim',b'@Lollylarry1 @emmycruz33 @whitenigerian Hahhaha this one pain him die\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',b'',0
,,,,
b'89',b'Rare_Breeeed',"b'@AhmadGanga @Imamofpeace Drag Buhari! A very wonderful thing to see, yes. But This man is known for his manipulations, he cannot even visit some countries as we speak. You can read about your self decorated imam, a Shia extremist, radical and takfiri here.  https://t.co/cIEBWkLeL4'","b'Abuja, Nigeria'",0
,,,,
b'90',b'braining01',"b'@Kaosygal @SmartAtuadi @segalink Ipob Jewish slave, die there. \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'",b'',1
,,,,
b'91',b'AlexAgbo23',"b""These BMC guys are pathetic...\nBecause they know that many Nigerians are opposed to IPOB, they're trying to make #BuhariResign an IPOB matter.\nWell, we will all register and become IPOB members if that will make our President to show leadership!""",b'Nigeria',0
,,,,
b'92',b'RoarEagle1',b'@Datgreatnigga @manlike_rex My dear Nigeria is dead trust me ...we\xe2\x80\x99re just living in a waste land yet rich',"b'Lagos, Nigeria'",0
,,,,
b'93',b'OrjimosesOscar1',"b'The people the called miscreants and jobless people are the same people who have just donated #50millionto to equip hospitals to tackle covid19, while your leaders are running to abroad for treatment. IPOB really deserves a national sorry.'",b'',0
,,,,
b'94',b'adedirant',"b'@Gen_Buhar @fattylincorn01 Those ones get certificate? IPOB foot soldiers are mostly dropouts, illiterate: stark ones.'",b'around ',1
,,,,
b'95',b'AmaraBiafra',"b'@Imamofpeace Mohammed Buhari is dead since 27 /2 /2017 was secretly buried in Saudi Arabia and Jubril Al Sudani is the impostor hired by this terrorist fulani Govmt, parading as Buhari.\nThe only solution for what is happening in Nigeria is #DivideNigeriaNow!\n#SupportBiafraFreedom!!'",b'Biafra',1
,,,,
b'96',b'King_Blacq',b'@Ndidi_amakaa Them gather like Almajiri wey see tractor for north',"b'Festac, Lagos'",1
,,,,
b'97',b'BishopsFranklin',"b'@PoliceNG Goats in police uniform. The Nigerian police is the most uncivilised people un Uniform. Uninformed and illiterates having no idea of ethical ways doing things. Nigeria is a zoo. These stupid policemen took orders from the stupid superiors, backward people.'",b'Deutschland',1
,,,,
b'98',b'tega4040',"b""@Austynzogs @Imamofpeace @Gidi_Traffic You're an almajiri with Itel phone https://t.co/VdVEIJa866""","b'Manchester, England'",1
,,,,
b'99',b'ITDATLOCALBOY',b'@Realoilsheikh @MBuhari Keep on enjoying the useless Nigeria aboki na aboki even if him be Dr or president \xf0\x9f\x90\x82\xf0\x9f\x90\x82\xf0\x9f\x90\x82\xf0\x9f\x90\x82',b'Lagos Nigeria',1
,,,,
b'100',b'Davidomeiza_',"b""It is my bro, the president is incompetent to lead us through this period. Maybe he's dead or whatever, who's actually making the decision, is Nigeria not supposed to be on lockdown and relief made available? https://t.co/fjd4cKh2bY""","b'Federal Capital Territory, Nig'",0
,,,,
b'101',b'rotimark',"b""@ChukwudubemIgb1 @MBuhari You are very good with the IPOB hateful rhetorics. I hope this bileful expression of your frustration will help you get the 'lefelendum' you have always advocated. But for now, you are a bonafide Nigerian and will remain so for a long time to come.""",b'',0
,,,,
b'102',b'YylisaN',b'@washingtonpost YY FROM M\nTO M YY\nYY MEANING OF YY 4:O7 ON YYBB 189\nCHAMP Y. ME R Y C YY\nYY CHAMP R YY. C (O)ME &amp; CAME(APPEARED TO M IN 86/87) 4:11 4:12 4:13 FOR THAT   (O)  \nON 214 14 \nBRI AND ARNE YY\nYY RIB AND ARNE \nMEANS YY OURS',b'',0
,,,,
b'103',b'Lilymikell',"b""@BashirAhmaad @MBuhari You remember how a fake WAEC certificate with Buhari's old picture was provided when we asked for his certificate????""","b'Lagos, Nigeria'",0
,,,,
b'104',b'saprentice',"b'From a recent @TYT email .. ""Trump also literally said he wants people to pack into churches. Which, John points out, is the sort of thing you\'d typically hear from a movie villain whose plan is to kill as many Christians as possible."" .. I thought the same thing when I heard it!'","b'SF Bay area, CA'",1
,,,,
b'105',b'Royal_dadd',"b'Prophetess @KemiOlunloyo, please has the gods shown you where @MBuhari is?\n\nIs he dead or alive?\nIs he in Nigeria or in the UK?'",b'Heaven',0
,,,,
b'106',b'samueljenkinson',b'@hellfiregay I am not doing it. Arne is. He\xe2\x80\x99s nearly finished and he says no.',"b'Louvain, Belgium'",0
,,,,
b'107',b'VictorChigaeme2',b'@MosesAgbo8 @MaziNnamdiKanu God bless @MaziNnamdiKanu and all Ipob members world wide..\nIseeee',b'Nigeria',0
,,,,
b'108',b'newstrack18',"b'@ndtv When Muslims kill Christians, Jews and Hindus and world wide genocide they are celebrated as heroes with virgins.'",b'',1
,,,,
b'109',b'BIGLEX15',b'@RealTimBlack And ppl wanted him to drop out. Imagine what he could get done as President! OMG! I wish he was 50 years younger. Wish We could clone him and keep him around forever!',b'LIVING IN YEAR 3600',0
,,,,
b'110',b'Ubaku2',b'50 Million naira would be committed in Biafra land by IPOB to curtail the menace of corona virus - - Mazi Nnamdi Kanu',b'',0
,,,,
b'111',b'cinemaclub721',"b'@veronicarxse @A331E_twt @Adeleke11765592 @chuuzus you believe in the bible, the bible says christians should, in your own words, ""kill the idea of other gods"", so you are supporting that. \n\nyou\'d struggle to pour water out of a boot with the instructions on the heel (and that\'s exactly what the church wants from you)'",b'',1
,,,,
b'112',b'MosesAgbo8',"b'@MaziNnamdiKanu and #IPOB 50 million naira #CIVID19 donation:\n\nI expect our Daddy G.O and other billionaires we have in Africa to emulate from #MNK and provide for their poor followers one way or another.Nothing is too small for the poor masses,Kanu/IPOB is neither richer. https://t.co/ZdafHe5LQ0'","b'Abuja, Nigeria'",0
,,,,
b'113',b'Leading_Project',b'This video message about the impact of the #COVID19 pandemic by Marriott CEO\xc2\xa0Arne Sorenson is a masterclass in #authentic leadership. Sorenson uses 5 communication keys to connect with various stakeholders. Read more via\xc2\xa0@Forbes #LeadershipMatters\xc2\xa0https://t.co/b2HWxPnAZF',b'',0
,,,,
b'114',b'_Khaleelah',b'They KILL ME! The \xe2\x80\x9cspiritual not religious\xe2\x80\x9d and \xe2\x80\x9crelationship not religious\xe2\x80\x9d Christians are legit the most religious. Lmaooo at first I used to laugh but now I\xe2\x80\x99m genuinely concerned. Their pastors be conservative as hell with jeans and a sports coat. No lol https://t.co/hihfxCqcU9',b'Yale Divinity School',0
,,,,
b'115',b'Ubaku2',b'Every state in Biafra land will nominate one hospital Ipob will equip with medical materials.\n\nMNK',b'',0
,,,,
