b'id',b'handle',b'message',b'location',b'polarity'
b'24',b'OyesileJohn',"b""@IKENNA_____2 @jack @IKENNA_____ @Twitter @TwitterSupport @iyaboawokoya @toluogunlesi @JohnFanimokun @NoHidingPlace4U @elay007 @Ezeakachidozie @fimiletoks @johnnysleek @woye1 @jeffphilips1 @mickiebrownkie @cbngov_akin1 Abeg @jack , we use Sango, oya, amadioha and ogun beg you, please free our guy's account.\n\nI just knew those ipob boys would want to see your account block for your sustained attacks on their uselessness""","b'Lagos, Nigeria'",0
,,,,
b'25',b'abu_jikantanko',"b""@UDUSOK Maths dept\n1. Dr. Almajiri Uba Ali\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0.( May be now Prof.)\n2. Prof. Isah Garba\n3. Prof. Aminu (maths)\n\nEducation\n1. Prof. Rabi\n2. Mal. Babangida Isah\n3. Dr. Usha'u A.\n4. Finally late Dr. Mango,\xf0\x9f\x98\x9e\xf0\x9f\x98\xad\nBut I appreciate all the lecturers in the Campus.\nN/B\nDr. A. Maigari (albarkated)""",b'Nigeria',0
,,,,
b'26',b'KeeCee57706165',b'@SaharaReporters There is No President in Aso rock.@SaharaReporters stop lying to people.#Asorockisempty\n#ipob has mop out the #zoocalledNigeria.',b'',1
,,,,
b'27',b'Damie_x',b'I\xe2\x80\x99m actually very evil! I should have been an Igbo girl.',b'',0
,,,,
b'28',b'ibeh_ada',b'@TonyCru32390771 @Amaka_Ekwo @EmekaGift @MaziNnamdiKanu The Zoo with non elected President #Aisha Buhari. Who made her President ooo? Are they NOT men in this Zoological Republic called Nigeria?',b'',1
,,,,
b'29',b'MalcolmOkadigbo',"b""@FMHDSD You People Should Take/Monitize The Feed To BVN Of The Parent's/Guardians. #SocialDistance #InterstateMovement #YouCantFeedMyChildBetterThanMe. Help The Almajiri And Stop Telling Stories @Sadiya_farouq And The Goon's.""","b'Abuja, Nigeria'",0
,,,,
b'30',b'Blueprint_ng',b'Almajiri: Moving forward https://t.co/m9ab8N16hQ',b'Nigeria',0
,,,,
b'31',b'ProphetChrisEN',"b'@MaziNnamdiKanu @csmonitor @USIP @EUinNigeria @USEmbassyAbuja @UKinNigeria @10DowningStreet @JohnCampbellcfr @UN @nassnigeria @StateDept United one people one love BIAFRANS, and our Nation cannot be built on lies. God bless Nnamdi Kanu IPOB family!!prophet Chris E.N'",b'kuala Lumpur ',0
,,,,
b'32',b'Segunjd',b'@Nnayereugonnaya @UPTown_NG @TheShehus Olisa metuh na media trial\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82... Watch Nta news you no go watch na AIT or ipob radio where dem dey brainwash una head you go sidon dey watch.',"b'Federal Capital Territory, Nig'",0
,,,,
b'33',b'CDDWestAfrica',"b'#Nigeria: ""Almajiri children are not possessions which parents can do as they please with. They have rights and the action or inactions of government impacts them more than any other group."" | @daily_trust\n\nhttps://t.co/NbuOMMv8Wy'","b'Abuja, Maiduguri Nigeria'",0
,,,,
b'34',b'chikwem1986',"b""South east governors are puppets to fulani almajiri janjaweed's. The only thing they care about is their stomach. https://t.co/GSuBhAF6Cc""",b'USA',1
,,,,
b'35',b'shotchafoe',b'I believe i am speaking on behalf of the #Presidency of #Nigeria the #Zoo. We the #Biafrans want #Biafra. We cant be governed by #animals',b'london',1
,,,,
b'36',b'BSingleman',b'@SaharaReporters As long as Islam exists almajiri will never ever end because almajiri is part of the Islam',b'',1
,,,,
b'37',b'chimbiko_jerome',b'#northern Nigeria baby industry(almajiri) the largest baby industry in the world .',b'',1
,,,,
b'38',b'LouisCh21696061',"b'Buhari killed Shiites;\nKilled IPOB members;\nAssaulted the judiciary;\nDisobeyed Court Orders;\nArrested protesters;\nJailed activists &amp; critics. \nAll throughout this 5yrs period of tyranny, you didn\xe2\x80\x99t get angry but you are suddenly very angry over Wike\xe2\x80\x99s'",b'Dubai ',1
,,,,
b'39',b'luqlab',"b""@uchejoy @olayemi_123 @azeez_ibrahim11 Online country, why can't you leave us Covid1... 9 pipu alone and face your online Biafraud country. Yeye""",b'Nigeria',0
,,,,
b'40',b'DodgeArdys',"b'@realDonaldTrump You Arne so deranged. I gwould say you\xe2\x80\x99re completely losing it, but you lost it years ago.  I don\xe2\x80\x99t think you were ever stable'",b'',1
,,,,
b'41',b'at__Peace',"b""@realomoboy @NaijaFlyingDr How do we achieve this when our education system isn't even uniform with the north and their almajiri system. Granted a nations geopolitical has to be significantly stable to enable sign tariff contracts, but Nigeria is divided on many levels. We live for the next four years here""",b'',0
,,,,
b'42',b'oladapotoby',b'@Bassa_H Plan is dead before arrival \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3. \nThey are just delusional. \nEyes wey dey cry dey see road. \nThat ibo boy looks like the best candidate for the new Nigeria.',b'\xf0\x9f\x94\x8dIn-Search of Golden fleece\xf0\x9f\x94\x8e',0
,,,,
b'43',b'KeithH6910',b'Marriott CEO Arne Sorensen Says Most of the World Has Seen the Bottom https://t.co/TIodbrBsdu',"b'Chicago, IL'",0
,,,,
b'44',b'christians_111',b'@nick_gutteridge Stupid allowing it in the first place.',"b'\xd8\xa7\xd9\x84\xd9\x82\xd8\xa7\xd9\x87\xd8\xb1\xd8\xa9, \xd9\x85\xd8\xb5\xd8\xb1'",0
,,,,
b'45',b'1molarmike',b'@Seyi__ @dondekojo Always begging like almajiri with ego like C Ronaldo',b'',0
,,,,
b'46',b'ANYIMOON2',b'This can only happen in a country where you have illiterates as leaders. #Loveofmoney @MaziNnamdiKanu @Amaka_Ekwo  @ShehuSani @realDonaldTrump #Biafra Nigeria is indeed a #ZOO https://t.co/eLKz4u2uVf',b'',1
,,,,
b'47',b'MsAyomidele',"b""You are in Nigeria hailing and cheering Trump for his racist acts and comments but somehow you have problem with Buhari's Fulani agenda (which doesn't include you) as a SS/SW/SE.\n\nYou wonder why IPOB was declared a terrorist group and the Herdsmen bAnDiTs\n\n\xf0\x9f\xa4\x94""",b'Nomadic',0
,,,,
b'48',b'thatGbagyiboy',"b""@Jayy_jnr Have you been reading the news at all of how Almajiri's are being smuggled into the south in trucks with cows and all?\n\nLol, victimize? \n\nI guess I'm from the south.\n\n Let's call a spade what it is. Forget sentiments.""","b'Abuja, Nigeria'",0
,,,,
b'49',b'YAPD2020',"b'In some research we did, we really understood that some of the Almajiri schools built by the former administration @GEJonathan are till in existence so why not rebuilding the schools it will reduce the Almajiri dropout @femigbaja @MBuhari @DrAhmadLawan @GovUmarGanduje @ProfZulum https://t.co/hLha6ZLjdR'",b'Hayin Banki Kaduna State',0
,,,,
b'50',b'CeeCee88546624',b'@SunnahYusuf @MaziNnamdiKanu @Waspapping_ Please which Buhari? are you talking of the one in a shallow grave in Saudi Arabia? i know you are using fake name janjaweed.',b'',1
,,,,
b'51',b'bobbyLEGHIT',"b'Who Said Our Tweets Dont Count?\nAbba Kyari Is Dead, Buhari Will Always Bend To Our Pressures\nNigeria Has Purchased The #MadagascarCure\nKeep On With The Revolution'","b'Imo, Nigeria'",0
,,,,
b'52',b'MazimosesAgbo',"b""Former Labour Party Chairman &amp; Political Leader In Nigeria,Dan Nwanyanwu Blasts The South East Governors For Refusing To Support &amp; Identify With @MaziNnamdiKanu BIAFRA &amp; IPOB. Says he don't expect them to talk when men are talking because of their Sokoto political godfathers. https://t.co/d0V7l8Tapj""","b'Abuja, Nigeria'",0
,,,,
b'53',b'KerrickKenneth',b'@PastorJohnHagee You quasi christians kill me. How many homes do you own? How many vehicles? How many lovers?',"b'Pennsylvania, USA'",0
,,,,
b'54',b'liannesanderson',"b'Wow another unbelievable weekend on Sanderson\xe2\x80\x99s Virtual training Ground. \xf0\x9f\x94\xa5Thank you John Arne Riise, Shaun Wright- Phillips,Leon McKenzie and the amazing Madison Baez \xf0\x9f\x8e\xa4\xe2\x9a\xbd\xef\xb8\x8f\xf0\x9f\xa5\x8a watch this space for another incredible line up this weekend.#SandersonVTG #Instalive  #SpreadPositivity https://t.co/kupiWuttij'","b'Los Angeles, CA'",0
,,,,
b'55',b'Meritjude',"b""@SaharaReporters I don't agree. Parent should be made to take full responsibility of their kids. Scrapping the Almajiri system is the best for now and the next step is putting a restriction on the number of children a person is to have.""","b'Lagos, Nigeria'",0
,,,,
b'56',b'Charles48987323',"b'Buhari is dead long ago but they are hiding it from Nigerians. The man impersonating Buhari in Aso rock is jubril. DNA test can prove this. Fulanis from other countrie are trooping in into Nigeria, killing Nigerians and occupying spaces due to no president'",b'',1
,,,,
b'57',b'PLACNG',b'The matter is on the evacuation of almajiris amidst the COVID19 pandemic following the decision by the Northern Governors Forum to ban the almajiri system and return almajiris to their respective States.',b'Abuja',0
,,,,
b'58',b'chimbiko_jerome',b'#Almajiri is agurable the largest baby industry in the world. ( You mean northern baby industry(almajiri)  @KadariaAhmed @elrufai @GovKaduna . #TheLastDance #coronavirus #\xd8\xa7\xd9\x84\xd9\x81\xd8\xac\xd8\xb1_\xd8\xa7\xd9\x84\xd9\x85\xd9\x81\xd8\xac\xd8\xb9 https://t.co/nJcJ5Jyc5c',b'',1
,,,,
b'59',b'BRijswijk',"b'@ebizarch @Greg_MarineLab @HMMurti @TapanginDatAss @Salacia_sea @g2carry @TomiLahren I think both looks aren\xe2\x80\x99t ok. All these killings were to gain power. Either by Christians, atheists, Muslims or whatever, certain people will kill for power or bad ideas.'",b'Nederland',0
,,,,
b'60',b'TrucksDeal',"b""@obi_Nwosu How can you call a dead man Nigeria  nest president. Must we be ruled by half dead men who can not outlast their tenor. It's either they die or be replaced with a rumoured robot. \xf0\x9f\xa4\x94\xf0\x9f\x98\x9c\xf0\x9f\x98\x9c\xf0\x9f\x8f\x83\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x8f\x83\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x8f\x83\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f""",b'',1
,,,,
b'61',b'Almajiri_Salim',b'Like the last 3 seconds https://t.co/YRlKvQZeQs',b'',0
,,,,
b'62',b'akhirebhulu',"b'ESCAPING FROM KANO&amp; KADUNA...\n\nMany Dead As Truck Load Of Cows, Herdsmen Heading East from Northern Nigeria over Lokoja Bridge. https://t.co/elF9JVmHWM'",b'',0
,,,,
b'63',b'ephee3',"b'@MrSomtoOkonkwo @UN @EU_Commission @UKParliament Everyday , when I wake up, I pray for my nation Biafra, my leader MAZI NNAMDI KANU AND ALL IPOB FAMILY MEMBERS'",b'Italy',0
,,,,
b'64',b'MustaphaOlatu19',b'@Maryking912 @instablog9ja Are you are Biafran or biafraud ? \n\nNa them thy kill joy like this',"b'Federal Capital Territory, Nig'",1
,,,,
b'65',b'MAWaheed1970',"b""@LadyVelvet_HFQ @DrAlshoreka Ma'am &amp; Sir.RSS terrorist had put these flags on hindu fruit sellers.Muslims fruit guys r beaten.All Hindus r buying from flagged shops.Hindus boycotted Muslim shops But their relatives earning here in GCC &amp; funding RSS to kill Muslims and Christians https://t.co/VR8jAFCWf2""",b'Jeddah',1
,,,,
b'66',b'yankeeikechukw1',b'@MaziNnamdiKanu @csmonitor @USIP @EUinNigeria @USEmbassyAbuja @UKinNigeria @10DowningStreet @JohnCampbellcfr @UN @nassnigeria @StateDept The truth is gradually pulling down the strong hold of the zoo called Nigeria... my leader my God continue to strengthen u efforts',b'',1
,,,,
b'67',b'metaskills',b'@NekoNova @chrismunns @alexwwood Thanks Arne. Do you have any good  links for dummies on that topic?',"b'Portsmouth, VA'",0
,,,,
b'68',b'CNote17626362',b'Nigeria Is called ZOO\nSeriously are we truly in the zoo https://t.co/Jsoep2xw2h',b'',1
,,,,
b'69',b'crakeey',"b'@3bood021 @ibsmooth1 You are the foolish one here mr clueless,your so-posed sponsor didn\xe2\x80\x99t even check the https://t.co/HqIyqMiM53 mch do you think Nigeria is owning at the moment? And don\xe2\x80\x99t forget ur zoo president patronage is nearly 73% of the total debt.'",b'Worlwide',1
,,,,
b'70',b'Teejaarni',b'@Jesuis_mickey @OGBENI_BAMBAM @Naija_PR Why is it that everything that has to do with religion in Nigeria is related to being demonic or satanic? It just show how dumb people can be. Whoever is alive attend church not who is dead. Can you proof to me that they can really keep to social distancing in his church?',"b""N 6\xc2\xb030' 0'' / E 3\xc2\xb09' 0''""",0
,,,,
b'71',b'OkeZion1',b'#obamaGate Chase those bokoharam whimps out of town.@realDonaldTrump @MaziNnamdiKanu @IPOB_LONDON @KaluMazi @PaulOkoronkwo2 @Umuchiukwu_writ @RaceEastern @radiobiafralive https://t.co/O1N1yXPHRJ',b'Biafra',0
,,,,
b'72',b'thatGbagyiboy',"b""Wait I don't understand, why is the north trying to smuggle Almajiri's into other states?\n\nShouldn't they be taken back to their homes or parents?""","b'Abuja, Nigeria'",0
,,,,
b'73',b'GOODVELIS',b'@Dehkunle Having a press conference is a thing developed countries do where they address the well deserving citizens like humans.Nigeria is a zoo',b'',1
,,,,
b'74',b'drizzlysea',"b'@realvictorjoe1 @MaziNnamdiKanu @Amaka_Ekwo_IPOB @UN @realDonaldTrump \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x80 you guys are just clown, social media country'","b'San Jose, CA'",0
,,,,
b'75',b'BB_sulepeace',"b""Does it make sense when ur paymasters looted billions in the name of Cassava Bread factory and Almajiri Schools while our hospitals are using old medical stuff provided by @MBuhari back in 1994 when he was PTF Chairman?. Pure water activist can't brainwash us walahi. https://t.co/KObhpP3xKd""",b'Nigeria',0
,,,,
b'76',b'folorunso_adisa',"b'Dismembered Dreams.\n\nOnly if he was enrolled in a school\nBut he was conscripted into the army of Almajiri.\nHe is now a native of the street\nNYSC apparel on his body, including his feet.\n\nHe could have been a compelling corps member\nBut his dreams got dismembered.\n#kunle #Osinbajo https://t.co/GU113Sx3gL'",b'Ogun State',0
,,,,
b'77',b'Ukwa_East_LGA',"b'In order to protect our people in #Biafraland, #Stockfish_Zone #Aba distribute face masks to #IPOB members.\n@IpobosisiomaLga @MaziNnamdiKanu @Amaka_Ekwo @ElvisChinedu12 @ipobamukwuz1 @UkadikezoneA @MaziEmmaOgbonna @Markumunnakwe1 https://t.co/MoaQCVs1Sg'",b'',1
,,,,
b'78',b'AlbertMBerriz',"b'The hotel operator might have seen the worst of declines in April, CEO Arne Sorenson says \xe2\x81\xa6@WSJ\xe2\x81\xa9  https://t.co/smoUPaVftD'",b'Ann Arbor/Saugatuck/Vero Beach',0
,,,,
b'79',b'rajkum4499',"b""@KiranManral @RanaAyyub @TheVikasKhanna @ManMundra @rubenmasc @chinukofficial @elsamariedsilva all she does is cast Indians as islamophobic!or are you blind?She never reports on excesses of Islam.Weep for the countries where there are no hindus or christians left to kill and they've turned on each other-a fate of India in 2080 &amp; the legacy u libs will leave your grandkids https://t.co/Fc5rz6o27x""",b'United States',1
,,,,
b'80',b'XIA0JUNZ',b'my typso might beb worst tahnnusual my handns arne reallky cold rn',b'felix \xe2\x98\x86 nono',0
,,,,
b'81',b'TochukwuTemple',"b""Names of IPOB members that was Abducted by @PoliceNG in Delta State, their only crime was joining #IPOB to fight for their freedom that's why they were Abducted. We demand for their immediate release.\n#SelfDetermination\n#FreeBiafra.\n@amnesty \n@StateDept \n@Europarl_EN \n@UN https://t.co/ATsIxrNTr3""",b'',0
,,,,
b'82',b'rajkum4499',"b'@RanaAyyub Meanwhile in your ultimate ""dream"" state where there are no Hindus or Christians left to kill-they\'ve turned on each other.Peaceful people attacking maternity wards for Allah-knows-what! In Syria Iraq Iran-its shia vs sunni since no Hindus Christians Yazidis are left to decimate! https://t.co/nhQTtSrwLP'",b'United States',1
,,,,
b'83',b'realvictorjoe1',b'The zoo has fallen no mortal body can build it anymore except Elohim and if they refuse to give us our freedom they will all pay with there life \n@MaziNnamdiKanu \n@Amaka_Ekwo_IPOB \n@UN \n@realDonaldTrump https://t.co/XKgu7jVEqi',b'',1
,,,,
b'84',b'Oluomoofderby',"b'Even Donald Trump the most powerful man in the world can\xe2\x80\x99t demolish an American citizens house.\n\nWike is a disgrace to Nigeria\xe2\x80\x99s democracy &amp; a total abuse of power.\n\nYou charge them to court and they will pay huge penalty fines\n\nNigeria, A nation with dead leaders.\n\n #YourViewTVC https://t.co/kYhnxY35qk'","b'Made in Africa, Serving Earth '",1
,,,,
b'85',b'TochukwuTemple',b'We are asking the @PoliceNG to release the #IPOB member which they have kidnapped. We are putting the world on notice if anything should happen to those #IPOB members that was kidnapped we will not take it likely with Delta state governor.\n#SelfDetermination\n#FreeBiafra \n@amnesty',b'',0
,,,,
b'86',b'navimumbaiipob',"b'Biafra means different things to different people. To much of the ruling elite,it means a plan to deny them free-will access to the vast hydrocarbon wealth of Eastern Nigeria But to Biafrans,and as encapsulated by IPOB @MaziNnamdiKanu it simply means a right to self-determination https://t.co/a9JvPzUyzl'",b'India ',0
,,,,
b'87',b'BB_sulepeace',"b'@adeyanjudeji Does it make sense when Ur paymasters looted billions in the name of Cassava Bread factory and Almajiri schools while our hospitals ar still using old medical stuff provided by @MBuhari as PTF Chairman in 1994. Apart from Pure Water Activism, what do U do for living??'",b'Nigeria',0
,,,,
b'88',b'OOmoariyo',b'@falomojoy @akandeoj Good of you Sister. But never mind thieves that lost opportunity to loot after we denied their failed leaders. When they Attack you. Some of the Leflendom are Fake drug dealers and substandard materials marketers which Buhari has blocked their dubious business.let them cry',b'',0
,,,,
b'89',b'gbastos_boney',"b'@Onyeka41716773 @AfricaFactsZone Ignorant online citizen of biafraud,u mean he is the smartest.'","b'Nigeria,lagos'",1
,,,,
b'90',b'staintanthony',"b""@YeleSowore @PillarSpace @GovWike You're more worse than wike... you insults GEJ and fought for his removal. Your Sahara is the engineer of zoological republic of Nigeria problem. Now you are talking of revolution in the zoo... it won't work until its time to disintegrate the zoo""",b'Malaysia',1
,,,,
b'91',b'YAPD2020',"b""We can't stop address the challenges of education especially for the Almajiri children in Nigeria, a system that need to be well reform with concrete protection and laws that will protect child rights @ProfZulum @GEJonathan @femigbaja @DrIsaPantami @DrAhmadLawan @GovUmarGanduje https://t.co/sHv1gGwPUx""",b'Hayin Banki Kaduna State',0
,,,,
b'92',b'rifnote',"b'Scrapping Almajiri System Won\xe2\x80\x99t Solve Problem, Kano Senator Tells Northern Governors - https://t.co/DchtUJGTrj'","b'Lagos, Nigeria'",0
,,,,
b'93',b'Lynette44466496',b'@CB618444 @anne_robben Hell is full of stupid fake Christians.',"b'Iowa, USA We do not grow potatoes!'",0
,,,,
b'94',b'JBOY02675747',b'History will write #It was in the time of IPOB that Biafra was restored @MaziNnamdiKanu 10/5/2020 https://t.co/FblDPsOQRz',b'',0
,,,,
b'95',b'Jesseglee1',"b""@SAMKLEF @SAMKLEF when you check, you'd realise that even the so called oil we focused on; our Almajiri leaders have diverted everything to their region whereas there are no oil wells there. #WeNeedRegionalGov't""",b'Earth \xf0\x9f\x8c\x8d ',0
,,,,
b'96',b'whereisloud',"b""For goodness sakes, no one uses steel anymore. This isn't the industrial age, other countries are closing up steel plants but Nigeria wants to spend money to revive a dead steel plant.\n\nWhy don't we focus on new age technology instead of this?? https://t.co/V84gvjVOVp""",b'LIFE \xf0\x9f\x92\x9c',0
,,,,
b'97',b'AbubakarSaniSa7',"b""@Necessary_Cho @whitenigerian @BossMustaphSGF @Mo_Atiku @NCDCgov @GarShehu @Abdulfagge @kebram @seunokin @channelstv @instablog9ja You should've praised the NCDC Boss, that would've given u accolade from those castigating u on this handle. Abi u forget say Boss Mustapha too na Almajiri to them. We have a long way to go in Naija. Only the grave will satisfy them""",b'',1
,,,,
b'98',b'OfficialShawn',b'@chamath @SquawkCNBC Give us some $ipob and $ipoc hints please!',"b'Lancaster, CA'",0
,,,,
b'99',b'Ultrascan419',"b'Almajiri: Where northern governors got it wrong: Section 41 of the 1999 Constitution provides that \xe2\x80\x9cEvery citizen of Nigeria is entitled to move freely throughout ... Kano State taking the lead, where it returned 419 almajiris to\xe2\x80\xa6 https://t.co/MnDFqM33vC #scam #nigerianscam'",b'Paris',0
,,,,
b'100',b'Ukwa_East_LGA',"b""Below are name's of #IPOB members arrested in delta state by @PoliceNG.\n@UN @UNHumanRights @StateDept @AmnestyNigeria @MaziNnamdiKanu @Amaka_Ekwo @IpobosisiomaLga @gaslinezoneaba @AloyEjimakor @ElvisChinedu12 @amnestyusa https://t.co/9Au32vN7ne""",b'',0
,,,,
b'101',b'Rgk007',"b'@ogundamisi Had they been successful, awa usual wailers would have called the evil kidnappers \xe2\x80\x98Fulani Herdsmen\xe2\x80\x9d . Very wicked people!'",b'London and Lagos',1
,,,,
b'102',b'theChuksStone',"b'Breaking....\n Donald Trump Rally:\nFour(4) IPOB Activists Discharge And Acquitted\n\nFour IPOB activists illicitly detained following the Donald Trump Rally on 20th January 2017, have been discharged and acquitted by a sitting Federal High Court in PortHarcourt https://t.co/k2sL3Yrpxk'",b'Nonyabiznes',0
,,,,
b'103',b'Nwachuk48175046',b'@MrSomtoOkonkwo @WHO @NigeriaGov @WHONigeria Zoo republic. Those who are fighting for one Nigeria have continued to domonstrate why they are really useless and subhumans',b'',1
,,,,
b'104',b'barakahDam',b'@InsideKaduna_ @HafsatMohBaba @elrufai I still hear some of this almajiri on my street ooo. Especially during sahur. Dey come begging',b'',0
,,,,
b'105',b'Isaiahuba',"b""Breaking news.\nAisha Buhari is the first female in the world to become first female President without an Election, she took over Nigeria President after the de-facto president of Nigeria Abba kayri's dead on 2nd of April 2020 in Cuba due to coronavirus pandemic.\n#AsoRockIsEmpty https://t.co/9edNvfee35""",b'',0
,,,,
